dataset,model,method,loss,ls,mixup,augmix,accuracy,ece,adaece,classece,brier
cifar100,resnet50,isotonic,focal,0.0,0.0,False,0.4681,0.058575715869665146,0.058575727,0.3559927,0.6778743267059326
cifar100,resnet50,bbq,focal,0.0,0.0,False,0.0218,0.010142423212528229,0.011531364,0.13805756,0.9892295002937317
cifar100,resnet50,temperature,focal,0.1,0.0,False,0.4315,0.049854177981615067,0.049854163,0.31657407,0.7102480530738831
cifar100,resnet50,platt,focal,0.1,0.0,False,0.4466,0.17728132009506226,0.1772256589010345,0.37942981001685183,0.7305907233666675
cifar100,resnet50,isotonic,focal,0.1,0.0,False,0.4577,0.07098935544490814,0.07098935,0.3451752,0.6939998269081116
cifar100,resnet50,bbq,focal,0.1,0.0,False,0.0217,0.009134115651249886,0.012034579,0.12852944,0.9885554909706116
cifar100,resnet50,temperature,focal,0.0,0.2,False,0.4242,0.0263090617954731,0.027310591,0.27478972,0.7152084112167358
cifar100,resnet50,platt,focal,0.0,0.2,False,0.4134,0.17710621654987335,0.17710622511853427,0.3485079878136762,0.7716455230336392
cifar100,resnet50,isotonic,focal,0.0,0.2,False,0.4404,0.03513709828257561,0.03433329,0.31139767,0.7073880434036255
cifar100,resnet50,bbq,focal,0.0,0.2,False,0.0192,0.01153947040438652,0.012039939,0.14806953,0.9887747764587402
cifar100,resnet50,temperature,focal,0.0,0.0,True,0.4285,0.04190095141530037,0.04058154,0.31879133,0.7077858448028564
cifar100,resnet50,platt,focal,0.0,0.0,True,0.4497,0.16315554082393646,0.16315554654311154,0.37848759010645766,0.7270778875359387
cifar100,resnet50,isotonic,focal,0.0,0.0,True,0.4474,0.06530215591192245,0.06520757,0.3488095,0.6984267234802246
cifar100,resnet50,bbq,focal,0.0,0.0,True,0.0207,0.00878860428929329,0.00971211,0.12884425,0.9891124963760376
cifar100,resnet50,temperature,dual_focal,0.0,0.0,False,0.3705,0.0351993702352047,0.035126377,0.23544474,0.7625364065170288
cifar100,resnet50,platt,dual_focal,0.0,0.0,False,0.401,0.11745722591876984,0.11745723350643572,0.33351462782301194,0.7509058142496838
cifar100,resnet50,isotonic,dual_focal,0.0,0.0,False,0.3957,0.031690843403339386,0.03384922,0.2618189,0.7429903149604797
