args,__module__=__main__,dataset=cifar10,num_classes=10,dataset_root=./data,train_batch_size=128,test_batch_size=128,data_aug=True,seed=42,learning_rate=0.1,momentum=0.9,optimiser=sgd,loss=cross_entropy,warm_up_epochs=0,gpu=True,loss_mean=False,load=False,gamma=1.0,gamma2=1.0,gamma3=1.0,lamda=1.0,gamma_schedule_step1=100,gamma_schedule_step2=250,temperature=1.0,bsce_norm=1,num_bins=15,weight_decay=0.0005,log_interval=50,save_interval=50,save_loc=./model/,model=resnet50,epoch=350,first_milestone=150,second_milestone=250,nesterov=False,__dict__=<attribute '__dict__' of 'args' objects>,__weakref__=<attribute '__weakref__' of 'args' objects>,__doc__=None
epoch,train_loss,val_loss,val_acc,val_ece,test_acc,test_ece
47,0.38356630702548555,0.8565372354507447,0.7328,0.10742730619311332,0.7235,0.11459210421293975
48,0.3826704615275065,0.5969375367641448,0.8022,0.06320623238682747,0.7992,0.06670062678307294
49,0.38619036148919,0.5985849975585937,0.802,0.06422764035463334,0.8005,0.06896216793656348
50,0.375721802605523,1.0456192985534667,0.729,0.14527849961221218,0.7277,0.14362760413736103
51,0.376088054784139,0.6262736480236053,0.7982,0.07146339369714261,0.7942,0.07264750819653269
52,0.3803616435156928,0.7596317308425903,0.7596,0.09717666791975497,0.7646,0.09216308531016115
53,0.37438071687486435,0.5573218313694001,0.8246,0.04883052172660829,0.8207,0.048007987320423134
54,0.38077965660095214,0.6946564322948455,0.7952,0.07446602174043658,0.7946,0.07494541078507902
55,0.38011534822252063,0.5678057516813279,0.8124,0.05522004633843901,0.8102,0.05997485016882417
56,0.37897616619533964,0.6868014953613282,0.791,0.091450965332985,0.7888,0.08693413314074279
57,0.3725805271572537,0.5228403446197509,0.8206,0.03477273998856542,0.8168,0.04175499902516602
58,0.3739332499186198,0.5411771814823151,0.8236,0.03996582492291927,0.8161,0.04768807123303413
59,0.3705075274149577,0.5162189448237419,0.8352,0.048469760131835904,0.8269,0.05314344277679921
60,0.37500752262539333,0.5758923002719879,0.8086,0.0617550408691168,0.806,0.06377712335884571
61,0.3632731824239095,0.8060293338775635,0.765,0.09187672813534734,0.7571,0.09053915923535821
62,0.3658847895304362,0.5700508010864258,0.8132,0.056202566292881985,0.8013,0.06709632579088211
63,0.37261214680141874,0.47361240262985227,0.841,0.033829633796215106,0.8267,0.0435457136124372
64,0.3662045803917779,0.6496295582294465,0.8038,0.05805364863574501,0.793,0.06887464815229175
65,0.36942804514567057,0.8066821599960328,0.7606,0.11203327133357524,0.7637,0.11043947717398406
66,0.37055742365519206,0.7589800796985626,0.7648,0.08984930836260316,0.7692,0.08805497351288796
67,0.36908465546502006,0.9091257064342498,0.7392,0.1346807094871998,0.7233,0.14818879723995926
68,0.3647182097117106,0.6089040414810181,0.8102,0.05224066267609593,0.7985,0.06382291896045214
69,0.361998715294732,0.6726053968429565,0.7788,0.08376545650959012,0.7846,0.0786941227346659
